,Unnamed: 0.1,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
40,81004,81004.0,7MXVkk9YMctZqd1Srtv4MB,The Weeknd;Daft Punk,Starboy,Starboy,90.0,230453.0,True,0.679,0.587,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.003,4.0,pop
44,81200,81200.0,5QO79kh1waicV47BqGRL3g,The Weeknd,After Hours,Save Your Tears,89.0,215626.0,True,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4.0,pop
45,68651,68651.0,3fjN3y5x4hN53rykAN2LHQ,Rels B,cómo dormiste?,cómo dormiste?,89.0,112572.0,True,0.627,0.429,1.0,-8.255,1.0,0.234,0.238,0.0,0.122,0.565,126.426,5.0,latino
46,68611,68611.0,5jt25aFjW2kNoBqaEVaz5W,Mora;Feid,MICRODOSIS,LA INOCENTE,89.0,202173.0,True,0.757,0.789,5.0,-3.46,0.0,0.0583,0.307,0.0,0.0717,0.464,91.911,4.0,latino
49,51352,51352.0,1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,About Damn Time,89.0,191822.0,True,0.836,0.743,10.0,-6.305,0.0,0.0656,0.0995,0.0,0.335,0.722,108.966,4.0,hip-hop
50,57018,57018.0,27ZZdyTSQWI7Cug2d2PkqV,Armani White,BILLIE EILISH.,BILLIE EILISH.,89.0,99282.0,True,0.9,0.509,1.0,-6.647,1.0,0.257,0.115,1.67e-06,0.0937,0.765,100.007,4.0,indie
53,51004,51004.0,5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI;Justin Bieber,STAY (with Justin Bieber),STAY (with Justin Bieber),89.0,141805.0,True,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,4.0,hip-hop
56,51751,51751.0,59nOXPmaKlBfGMDeOVGrIK,Future;Drake;Tems,I NEVER LIKED YOU,WAIT FOR U (feat. Drake & Tems),89.0,189893.0,True,0.463,0.642,1.0,-4.474,1.0,0.34,0.314,0.0,0.0686,0.339,83.389,4.0,hip-hop
62,81450,81450.0,7fBv7CLKzipRk6EC6TWHOB,The Weeknd,Beauty Behind The Madness,The Hills,88.0,242253.0,True,0.585,0.564,0.0,-7.063,0.0,0.0515,0.0671,0.0,0.135,0.137,113.003,4.0,pop
63,81951,81951.0,4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Happier Than Ever,88.0,298899.0,True,0.332,0.225,0.0,-8.697,1.0,0.0348,0.767,0.00349,0.128,0.297,81.055,3.0,pop
65,81405,81405.0,5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,SOUR,drivers license,88.0,242013.0,True,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4.0,pop
69,88708,88708.0,6DoL1yYIwEW7VZMRaJhoJI,Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,La Llevo Al Cielo (Ft. Ñengo Flow),La Llevo Al Cielo (Ft. Ñengo Flow),88.0,254920.0,True,0.795,0.845,9.0,-3.809,0.0,0.135,0.105,1.14e-05,0.172,0.769,170.023,4.0,reggae
71,51450,51450.0,68Dni7IE4VyPkTOH9mRWHr,J. Cole,2014 Forest Hills Drive,No Role Modelz,88.0,292799.0,True,0.69,0.521,10.0,-8.492,0.0,0.339,0.324,0.0,0.0534,0.494,100.028,4.0,hip-hop
74,68604,68604.0,0kTMK4gNFfLXaTb62w1UaJ,Pablo Pesadilla;Polimá Westcoast;Nickoog Clk;Fran C,BABY OTAKU,BABY OTAKU,88.0,176470.0,True,0.835,0.747,9.0,-4.65,1.0,0.083,0.0492,0.0,0.055,0.432,102.003,4.0,latino
75,51159,51159.0,7lQ8MOhq6IN2w8EYcFNSUk,Eminem,The Eminem Show,Without Me,88.0,290320.0,True,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,4.0,hip-hop
78,81155,81155.0,6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Planet Her,Woman,88.0,172626.0,True,0.824,0.764,5.0,-4.175,0.0,0.0854,0.0888,0.00294,0.117,0.881,107.998,4.0,pop
84,81702,81702.0,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,SOUR,good 4 u,88.0,178146.0,True,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,4.0,pop
86,51051,51051.0,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,MONTERO,THATS WHAT I WANT,87.0,143901.0,True,0.737,0.846,1.0,-4.51,0.0,0.22,0.00614,0.0,0.0486,0.546,87.981,4.0,hip-hop
90,3300,3300.0,73vIOb4Q7YN6HeJTbscRx5,Oliver Tree;Robin Schulz,Miss You,Miss You,87.0,206000.0,True,0.587,0.742,6.0,-6.64,0.0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4.0,alternative
97,51216,51216.0,3yfqSUWxFvZELEM4PmlwIR,Eminem,The Marshall Mathers LP,The Real Slim Shady,87.0,284200.0,True,0.949,0.661,5.0,-4.244,0.0,0.0572,0.0302,0.0,0.0454,0.76,104.504,4.0,hip-hop
102,88701,88701.0,2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Yonaguni,87.0,206710.0,True,0.644,0.648,1.0,-4.601,1.0,0.118,0.276,0.0,0.135,0.44,179.951,4.0,reggae
106,81752,81752.0,6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,SOUR,deja vu,87.0,215506.0,True,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,4.0,pop
107,33007,33007.0,5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,17,Revenge,87.0,120026.0,True,0.746,0.251,11.0,-16.169,0.0,0.259,0.782,0.00203,0.106,0.18,139.999,4.0,emo
114,88411,88411.0,5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,Pepas,86.0,287120.0,True,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,4.0,reggae
115,51015,51015.0,2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,?,Hope,86.0,110886.0,True,0.592,0.457,9.0,-6.081,0.0,0.0603,0.661,0.000331,0.146,0.225,146.04,4.0,hip-hop
120,65150,65150.0,1rDQ4oMwGJI7B4tovsBOxc,Jack Harlow,First Class,First Class,86.0,173947.0,True,0.905,0.563,8.0,-6.135,1.0,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4.0,k-pop
121,68865,68865.0,44XjoNvtwevktFKjvVe1vH,Bad Bunny;Buscabulla,Un Verano Sin Ti,Andrea,86.0,339611.0,True,0.797,0.616,1.0,-10.229,0.0,0.375,0.762,0.000293,0.0979,0.451,103.071,4.0,latino
122,51503,51503.0,4woTEX1wYOTGDqNXuavlRC,Eminem;Dina Rae,The Eminem Show,Superman,86.0,350320.0,True,0.802,0.755,4.0,-3.138,0.0,0.0564,0.0215,0.0,0.295,0.58,130.027,4.0,hip-hop
125,51277,51277.0,4xkOaSrkexMciUUogZKVTS,Eminem;Nate Dogg,The Eminem Show,Till I Collapse,86.0,297786.0,True,0.548,0.847,1.0,-3.237,1.0,0.186,0.0622,0.0,0.0816,0.1,171.447,4.0,hip-hop
128,81201,81201.0,27NovPIUIRrOZoCHxABJwK,Lil Nas X;Jack Harlow,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),86.0,212000.0,True,0.736,0.704,3.0,-7.409,0.0,0.0615,0.0203,0.0,0.0501,0.894,149.995,4.0,pop
129,81207,81207.0,4iJyoBOLtHqaGxP12qzhQI,Justin Bieber;Daniel Caesar;Giveon,Justice,Peaches (feat. Daniel Caesar & Giveon),86.0,198081.0,True,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,4.0,pop
130,3004,3004.0,4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,abcdefu,86.0,168601.0,True,0.695,0.54,4.0,-5.692,1.0,0.0493,0.299,0.0,0.367,0.415,121.932,4.0,alternative
133,81956,81956.0,2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,SOUR,happier,86.0,175933.0,True,0.395,0.443,6.0,-9.72,1.0,0.133,0.765,9.67e-06,0.0839,0.338,168.924,3.0,pop
135,2053,2053.0,70LcF31zb1H0PyJoS1Sx1r,Radiohead,Pablo Honey,Creep,85.0,238640.0,True,0.515,0.43,7.0,-9.935,1.0,0.0372,0.0097,0.000133,0.129,0.104,91.844,4.0,alt-rock
145,51301,51301.0,3UmaczJpikHgJFyBTAJVoz,Eminem;Dido,The Marshall Mathers LP,Stan,85.0,404106.0,True,0.78,0.768,6.0,-4.325,0.0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,4.0,hip-hop
148,109000,109000.0,2vXKRlJBXyOcvZYTdNeckS,Gesaffelstein;The Weeknd,Hyperion,Lost in the Fire (feat. The Weeknd),85.0,202093.0,True,0.658,0.671,2.0,-12.21,1.0,0.0363,0.0933,0.000927,0.115,0.166,100.966,4.0,techno
150,89916,89916.0,5kVZxyMY1gfdCLiChsfjn1,Bad Bunny,Un Verano Sin Ti,Yo No Soy Celoso,85.0,230704.0,True,0.872,0.588,0.0,-6.276,1.0,0.0492,0.275,0.0,0.17,0.93,142.004,4.0,reggaeton
153,68760,68760.0,2z9YkcLojiOE7Eu2p9lPZR,Feid,Normal,Normal,85.0,171986.0,True,0.712,0.557,4.0,-4.861,0.0,0.115,0.0397,0.0,0.27,0.594,170.079,4.0,latino
159,68653,68653.0,2TDyyEBasw10wu5Uh94bR1,Rauw Alejandro;Baby Rasta,PUNTO 40,PUNTO 40,85.0,190654.0,True,0.873,0.826,0.0,-0.722,1.0,0.0876,0.00127,0.0361,0.311,0.201,106.972,4.0,latino
162,20012,20012.0,35mvY5S1H3J2QZyna3TFe0,Ariana Grande,Positions,positions,85.0,172324.0,True,0.737,0.802,0.0,-4.771,1.0,0.0878,0.468,0.0,0.0931,0.682,144.015,4.0,dance
164,51059,51059.0,3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,17,Everybody Dies In Their Nightmares,85.0,95466.0,True,0.734,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.112,0.689,129.953,4.0,hip-hop
175,88860,88860.0,48AJSd42lXpicsGqcgopof,Daddy Yankee;Bad Bunny,LEGENDADDY,X ÚLTIMA VEZ,85.0,192477.0,True,0.812,0.855,7.0,-3.725,1.0,0.0554,0.0789,0.000167,0.108,0.573,90.04,4.0,reggae
180,103155,103155.0,3GZD6HmiNUhxXYf8Gch723,Frank Ocean,channel ORANGE,Lost,85.0,234093.0,True,0.913,0.603,8.0,-4.892,1.0,0.226,0.0272,0.000503,0.167,0.497,123.061,4.0,soul
193,51504,51504.0,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,Birds In The Trap Sing McKnight,goosebumps,84.0,243836.0,True,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,4.0,hip-hop
197,88902,88902.0,69vlMrzHwATKzupwNcUPyK,Bad Bunny;Daddy Yankee,YHLQMDLG,La Santa,84.0,206420.0,True,0.744,0.868,1.0,-4.524,1.0,0.047,0.0326,0.0,0.0822,0.586,93.037,4.0,reggae
200,71004,71004.0,7o2CTH4ctstm8TNelqjb51,Guns N' Roses,Appetite For Destruction,Sweet Child O' Mine,84.0,354520.0,True,0.454,0.91,6.0,-7.766,1.0,0.0448,0.0866,0.0996,0.116,0.629,125.116,4.0,metal
202,51801,51801.0,503OTo2dSqe7qk76rgsbep,Dr. Dre;Snoop Dogg,2001,Still D.R.E.,84.0,270586.0,True,0.816,0.775,11.0,-3.323,1.0,0.234,0.16,0.00031,0.0543,0.527,93.431,4.0,hip-hop
203,51250,51250.0,6DCZcSspjsKoFjzjrWoCdn,Drake,Scorpion,God's Plan,84.0,198973.0,True,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,4.0,hip-hop
209,20009,20009.0,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,"thank u, next",7 rings,84.0,178626.0,True,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,4.0,dance
210,51201,51201.0,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,17,Jocelyn Flores,84.0,119133.0,True,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,4.0,hip-hop
214,81652,81652.0,3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Planet Her,Need to Know,84.0,210560.0,True,0.664,0.609,1.0,-6.509,1.0,0.0707,0.304,0.0,0.0926,0.194,130.041,4.0,pop
222,110004,110004.0,0bI7K9Becu2dtXK1Q3cZNB,Tiësto;KAROL G,Don't Be Shy,Don't Be Shy,84.0,140500.0,True,0.77,0.787,11.0,-3.748,0.0,0.0583,0.198,0.0,0.262,0.513,119.986,4.0,trance
225,20100,20100.0,0k4d5YPDr1r7FX77VdqWez,Doja Cat;The Weeknd,Planet Her,You Right,84.0,186173.0,True,0.828,0.621,8.0,-6.414,1.0,0.0565,0.0164,0.00233,0.0845,0.436,128.986,4.0,dance
226,81668,81668.0,1XGmzt0PVuFgQYYnV2It7A,Maroon 5;Wiz Khalifa,Overexposed Track By Track,Payphone,84.0,231173.0,True,0.743,0.752,4.0,-4.813,1.0,0.0414,0.0188,0.0,0.287,0.545,110.015,4.0,pop
230,81606,81606.0,45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,you broke me first,84.0,169265.0,True,0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,4.0,pop
231,51500,51500.0,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,DAMN.,HUMBLE.,84.0,177000.0,True,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4.0,hip-hop
234,68813,68813.0,5GF0X7GdNmnouKcdhhRmtm,Paulo Londra;Duki,Party en el Barrio (feat. Duki),Party en el Barrio (feat. Duki),83.0,236143.0,True,0.527,0.665,10.0,-7.108,1.0,0.164,0.0168,1.29e-06,0.324,0.546,135.026,4.0,latino
242,20700,20700.0,60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Hot Pink,Streets,83.0,226986.0,True,0.749,0.463,11.0,-8.433,1.0,0.0842,0.21,0.0382,0.338,0.189,90.035,4.0,dance
251,68802,68802.0,0G2zPzWqVjR68iNPmx2TBe,Mora;Bad Bunny;Sech,Volando (Remix),Volando - Remix,83.0,273474.0,True,0.659,0.688,6.0,-4.649,1.0,0.0673,0.207,0.0,0.113,0.632,153.979,4.0,latino
258,94002,94002.0,2kx5sQgmjYug0GiDh1a4sU,Cheriimoya;Sierra Kidd,"Living Life, In The Night","Living Life, In The Night",83.0,122517.0,True,0.624,0.499,0.0,-9.962,0.0,0.0495,0.82,0.0,0.12,0.298,143.249,4.0,sad
260,81671,81671.0,1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO,MONTERO (Call Me By Your Name),83.0,137704.0,True,0.593,0.503,8.0,-6.725,0.0,0.22,0.293,0.0,0.405,0.71,178.781,4.0,pop
262,68800,68800.0,2vmfvSoZBFAt9hhRoEByLi,Aventura;Bad Bunny,Volví,Volví,83.0,230125.0,True,0.725,0.86,1.0,-3.726,1.0,0.182,0.422,0.000284,0.0674,0.791,175.896,4.0,latino
264,68668,68668.0,6mmPpaltUZK7xjNlBPQQ0p,Rauw Alejandro;Chencho Corleone,VICE VERSA,Desesperados,83.0,224996.0,True,0.869,0.694,1.0,-3.35,0.0,0.0783,0.356,0.00125,0.0878,0.511,90.02,4.0,latino
268,67900,67900.0,47EiUVwUp4C9fGccaPuUCS,Bad Bunny;Jhayco,DÁKITI,DÁKITI,83.0,205090.0,True,0.731,0.573,4.0,-10.059,0.0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4.0,latin
276,20600,20600.0,6XO8RlYuJCiI0v3IA48FeJ,Marshmello;Juice WRLD,Bye Bye,Bye Bye,83.0,108498.0,True,0.645,0.525,3.0,-5.399,0.0,0.0355,0.0574,0.0,0.505,0.238,83.018,4.0,dance
282,51200,51200.0,0VgkVdmE4gld66l8iyGjgx,Future,FUTURE,Mask Off,83.0,204600.0,True,0.833,0.434,2.0,-8.795,1.0,0.431,0.0102,0.0219,0.165,0.281,150.062,4.0,hip-hop
283,51652,51652.0,7iL6o9tox1zgHpKUfh9vuC,50 Cent,Get Rich Or Die Tryin',In Da Club,83.0,193466.0,True,0.899,0.713,6.0,-2.752,0.0,0.366,0.255,0.0,0.0708,0.777,90.051,4.0,hip-hop
284,51700,51700.0,40iJIUlhi6renaREYGeIDS,Drake;Travis Scott,Certified Lover Boy,Fair Trade (with Travis Scott),83.0,291175.0,True,0.666,0.465,1.0,-8.545,1.0,0.26,0.0503,0.0,0.215,0.292,167.937,4.0,hip-hop
285,57082,57082.0,4pt5fDVTg5GhEvEtlz9dKk,Måneskin,Teatro d'ira - Vol. I,I WANNA BE YOUR SLAVE,83.0,173346.0,True,0.75,0.608,1.0,-4.008,1.0,0.0387,0.00165,0.0,0.178,0.958,132.507,4.0,indie
290,51651,51651.0,7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION;Trippie Redd,17,Fuck Love (feat. Trippie Redd),83.0,146520.0,True,0.797,0.533,0.0,-9.74,0.0,0.0412,0.0172,0.000152,0.103,0.329,131.036,4.0,hip-hop
292,53050,53050.0,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,ASTROWORLD,SICKO MODE,83.0,312820.0,True,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0,house
295,68951,68951.0,35wvL50xvKpCHEJPxLOLPI,Bad Bunny,X 100PRE,Si Estuviésemos Juntos,83.0,169247.0,True,0.672,0.594,1.0,-6.813,0.0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,4.0,latino
297,56058,56058.0,1ZdhOMWyFR8Iv9eylMGYg2,Labrinth,Imagination & the Misfit Kid,Mount Everest,83.0,157497.0,True,0.494,0.428,0.0,-7.239,0.0,0.205,0.236,0.0698,0.0816,0.44,87.724,4.0,indie-pop
298,51650,51650.0,0fX4oNGBWO3dSGUZcVdVV2,Kendrick Lamar,Mr. Morale & The Big Steppers,N95,83.0,195950.0,True,0.79,0.67,1.0,-5.527,1.0,0.105,0.377,2.32e-06,0.119,0.408,139.956,4.0,hip-hop
299,51320,51320.0,7FIWs0pqAYbP91WWM0vlTQ,Eminem;Juice WRLD,Music To Be Murdered By,Godzilla (feat. Juice WRLD),83.0,210800.0,True,0.808,0.745,10.0,-5.26,0.0,0.342,0.145,0.0,0.292,0.829,165.995,4.0,hip-hop
301,20716,20716.0,32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson;Bruno Mars,Uptown Special,Uptown Funk (feat. Bruno Mars),83.0,269666.0,True,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,4.0,dance
302,33015,33015.0,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,?,Moonlight,83.0,135090.0,True,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009,4.0,emo
303,89859,89859.0,6C1RD7YQVvt3YQj0CmuTeu,Bad Bunny;Ozuna;Farruko;Arcangel;Ñengo Flow;DJ Luian;Mambo Kingz,Diles,Diles,83.0,286040.0,True,0.813,0.56,2.0,-5.904,0.0,0.0618,0.108,0.0,0.268,0.287,118.033,4.0,reggaeton
304,81460,81460.0,4jPy3l0RUwlUI9T5XHBW2m,24kGoldn;iann dior,El Dorado,Mood (feat. iann dior),83.0,140533.0,True,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,4.0,pop
305,33013,33013.0,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,?,SAD!,83.0,166605.0,True,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0,emo
306,51401,51401.0,15JINEqzVMv3SvJTAXAKED,Eminem;Rihanna,Recovery,Love The Way You Lie,83.0,263373.0,True,0.749,0.925,10.0,-5.034,1.0,0.227,0.241,0.0,0.52,0.641,86.989,4.0,hip-hop
308,51350,51350.0,3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar;SZA,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),83.0,232186.0,True,0.698,0.633,8.0,-4.946,1.0,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4.0,hip-hop
322,51453,51453.0,3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,82.0,175720.0,True,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4.0,hip-hop
325,37200,37200.0,2qOm7ukLyHUXWyR4ZWLwxA,Ice Cube,The Predator,It Was A Good Day,82.0,260000.0,True,0.798,0.744,7.0,-5.328,0.0,0.136,0.33,0.000106,0.292,0.794,82.356,4.0,funk
329,68714,68714.0,4srcMdbm2qzVG98tJajHxp,Alejo;Feid;ROBI,Pantysito,Pantysito,82.0,240413.0,True,0.83,0.739,7.0,-5.395,0.0,0.0627,0.136,2.11e-06,0.162,0.631,97.993,4.0,latino
332,68724,68724.0,6ojZtz3sZr6ynvejLOqgCj,Tiago PZK;Ozuna,Nos Comemos (feat. Ozuna),Nos Comemos (feat. Ozuna),82.0,191086.0,True,0.827,0.819,6.0,-3.701,1.0,0.052,0.1,0.0,0.089,0.562,92.017,4.0,latino
334,99046,99046.0,4svaKoxMMP7ImmKrD5hfQu,Jax,Victoria’s Secret,Victoria’s Secret,82.0,176124.0,True,0.586,0.556,6.0,-7.639,1.0,0.0592,0.00655,0.0,0.0836,0.517,167.018,4.0,singer-songwriter
336,51761,51761.0,0Fs9cdPDhptWEDJmiCbkEW,J. Cole;Cults;Amber Coffman,Born Sinner (Deluxe Version),She Knows (feat. Amber Coffman & Cults),82.0,296520.0,True,0.766,0.74,1.0,-10.363,1.0,0.0807,0.0193,0.0784,0.229,0.183,118.008,4.0,hip-hop
338,89856,89856.0,0vHfVsEe6Ps0d8cZ9PGzSw,De La Ghetto;Rauw Alejandro,Loco Por Perrearte (Remix),Loco Por Perrearte - Remix,82.0,199148.0,True,0.848,0.673,11.0,-4.034,0.0,0.058,0.0147,0.00652,0.102,0.39,93.987,4.0,reggaeton
341,56503,56503.0,3IznIgmXtrUaoPWpQTy5jB,TV Girl,Who Really Cares,Not Allowed,82.0,167864.0,True,0.67,0.905,1.0,-6.855,1.0,0.129,0.669,0.000227,0.349,0.563,104.965,4.0,indie-pop
342,68901,68901.0,2tFwfmceQa1Y6nRPhYbEtC,Jhayco;Bad Bunny,CÓMO SE SIENTE (Remix),CÓMO SE SIENTE - Remix,82.0,227520.0,True,0.807,0.606,3.0,-8.871,0.0,0.088,0.0946,0.0,0.119,0.304,92.988,4.0,latino
343,33014,33014.0,7floNISpH8VF4z4459Qo18,XXXTENTACION,Look At Me!,Look At Me!,82.0,126345.0,True,0.763,0.726,1.0,-6.405,1.0,0.282,0.259,0.0,0.0976,0.349,139.059,4.0,emo
345,51753,51753.0,7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky;Skepta,TESTING,Praise The Lord (Da Shine) (feat. Skepta),82.0,205040.0,True,0.854,0.569,5.0,-8.151,0.0,0.106,0.0609,0.0816,0.1,0.294,80.015,4.0,hip-hop
348,31064,31064.0,32BeYxKPrig1LefHsC0Xuo,Billie Eilish,Happier Than Ever (Edit),Happier Than Ever - Edit,82.0,151444.0,True,0.334,0.599,0.0,-5.742,1.0,0.0365,0.0468,0.000392,0.205,0.127,161.74,3.0,electro
